475	582
796	30
698	466
170	585
616	254
700	305
84	778
206	694
800	671
245	374
565	756
730	557
109	608
583	0
487	679
477	122
462	71
567	592
426	141
242	642
103	332
769	204
690	64
578	70
378	568
707	292
659	343
310	125
712	740
656	240
781	21
548	68
17	447
58	158
60	432
99	364
736	474
167	540
31	434
12	148
708	711
443	8
138	259
594	787
247	150
791	64
333	568
147	709
586	255
679	77
59	464
338	664
258	535
754	790
366	459
760	166
573	731
192	554
753	718
399	247
294	735
342	223
672	445
562	574
404	303
86	289
142	547
55	220
503	192
647	453
330	391
709	193
763	81
383	728
741	356
437	390
352	772
593	515
246	740
114	395
157	613
629	454
757	111
766	282
56	748
745	138
251	152
426	400
322	191
706	187
659	620
654	391
792	625
217	425
502	168
340	471
260	294
702	745
243	186
428	385
